
   # PLAYER                       :  RATING  ERROR     POINTS    PLAYED   (%)  CFS(%)        W       D        L  D(%)
 223 weights_run3_714495.pb.gz    :    2490      9     2809.0      6000  46.8      51     2676     266     3058   4.4
 224 weights_run3_714666.pb.gz    :    2490      8     2875.0      6000  47.9      50     2765     220     3015   3.7
 225 weights_run3_714673.pb.gz    :    2490     10     2806.0      6000  46.8      51     2694     224     3082   3.7
 226 weights_run3_714451.pb.gz    :    2490      9     2749.0      6000  45.8      51     2610     278     3112   4.6
 227 weights_run3_714470.pb.gz    :    2490     10     2887.0      6000  48.1      52     2742     290     2968   4.8
 228 weights_run3_714476.pb.gz    :    2490     10     2907.5      6000  48.5      52     2780     255     2965   4.3
 229 weights_run3_714484.pb.gz    :    2489     10     2932.0      6000  48.9      50     2836     192     2972   3.2
 230 weights_run3_714456.pb.gz    :    2489     11     2840.0      6000  47.3      50     2715     250     3035   4.2
 231 weights_run3_714445.pb.gz    :    2489      9     2905.0      6000  48.4      50     2776     258     2966   4.3
 232 weights_run3_714669.pb.gz    :    2489     10     2856.5      6000  47.6      50     2747     219     3034   3.6
 233 weights_run3_714461.pb.gz    :    2489      9     2779.0      6000  46.3      51     2672     214     3114   3.6
 234 weights_run3_714410.pb.gz    :    2489     10     2848.0      6000  47.5      50     2711     274     3015   4.6
 235 weights_run3_714664.pb.gz    :    2489     12     2915.0      6000  48.6      50     2820     190     2990   3.2
 236 weights_run3_714529.pb.gz    :    2489     10     2862.5      6000  47.7      51     2745     235     3020   3.9
 237 weights_run3_714474.pb.gz    :    2489     11     2876.5      6000  47.9      51     2753     247     3000   4.1
 238 weights_run3_714535.pb.gz    :    2489     10     2786.5      6000  46.4      50     2665     243     3092   4.0
 239 weights_run3_714530.pb.gz    :    2489     10     2843.0      6000  47.4      50     2727     232     3041   3.9
 240 weights_run3_714468.pb.gz    :    2488     10     2862.0      6000  47.7      50     2744     236     3020   3.9
 241 weights_run3_714670.pb.gz    :    2488      9     2845.0      6000  47.4      50     2748     194     3058   3.2
 242 weights_run3_714610.pb.gz    :    2488     10     2781.5      6000  46.4      51     2679     205     3116   3.4
 243 weights_run3_714539.pb.gz    :    2488     10     2854.5      6000  47.6      50     2765     179     3056   3.0
 244 weights_run3_714478.pb.gz    :    2488     10     2841.5      6000  47.4      50     2756     171     3073   2.9
 245 weights_run3_714612.pb.gz    :    2488     10     2814.0      6000  46.9      50     2662     304     3034   5.1
 246 weights_run3_714426.pb.gz    :    2488     11     2905.5      6000  48.4      50     2772     267     2961   4.5
 247 weights_run3_714613.pb.gz    :    2488     10     2820.5      6000  47.0      51     2684     273     3043   4.5
 248 weights_run3_714439.pb.gz    :    2488      9     2816.0      6000  46.9      50     2658     316     3026   5.3
 249 weights_run3_714387.pb.gz    :    2488     11     2781.5      6000  46.4      50     2658     247     3095   4.1
 250 weights_run3_714437.pb.gz    :    2488      9     2818.5      6000  47.0      52     2707     223     3070   3.7
 251 weights_run3_714528.pb.gz    :    2488      9     2825.5      6000  47.1      50     2701     249     3050   4.2
 252 weights_run3_714409.pb.gz    :    2487     10     2818.5      6000  47.0      50     2701     235     3064   3.9
 253 weights_run3_714397.pb.gz    :    2487     10     2845.0      6000  47.4      50     2757     176     3067   2.9
 254 weights_run3_714421.pb.gz    :    2487      9     2937.5      6000  49.0      51     2827     221     2952   3.7
 255 weights_run3_714637.pb.gz    :    2487     12     2793.5      6000  46.6      51     2713     161     3126   2.7
 256 weights_run3_714396.pb.gz    :    2487     10     2813.5      6000  46.9      51     2696     235     3069   3.9
 257 weights_run3_714443.pb.gz    :    2487      9     2856.5      6000  47.6      52     2745     223     3032   3.7
 258 weights_run3_714383.pb.gz    :    2487      9     2851.0      6000  47.5      51     2739     224     3037   3.7
 259 weights_run3_714540.pb.gz    :    2487     10     2854.0      6000  47.6      51     2758     192     3050   3.2
 260 weights_run3_714375.pb.gz    :    2486     10     2818.0      6000  47.0      51     2682     272     3046   4.5
 261 weights_run3_714662.pb.gz    :    2486     11     2839.0      6000  47.3      50     2712     254     3034   4.2
 262 weights_run3_714434.pb.gz    :    2486     11     2898.5      6000  48.3      50     2776     245     2979   4.1
 263 weights_run3_714489.pb.gz    :    2486     10     2703.5      6000  45.1      51     2588     231     3181   3.9
 264 weights_run3_714475.pb.gz    :    2486     10     2830.5      6000  47.2      51     2716     229     3055   3.8
 265 weights_run3_714644.pb.gz    :    2486      9     2805.0      6000  46.8      50     2705     200     3095   3.3
 266 weights_run3_714595.pb.gz    :    2486      9     2857.5      6000  47.6      50     2745     225     3030   3.8
 267 weights_run3_714381.pb.gz    :    2486     10     2863.0      6000  47.7      50     2733     260     3007   4.3
 268 weights_run3_714362.pb.gz    :    2486     10     2873.5      6000  47.9      50     2767     213     3020   3.5
