Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714496.pb.gz       :      2000 (    1115,     43,     842),  56.8 :    +40,    5,  100.0
      weights_run3_714631.pb.gz       :      2000 (    1045,     74,     881),  54.1 :    +40,    6,  100.0
      weights_run3_714688.pb.gz       :      2000 (    1124,     32,     844),  57.0 :    +40,    5,  100.0
      weights_run3_714545.pb.gz       :      2000 (    1104,     55,     841),  56.6 :    +40,    6,  100.0
      weights_run3_714408.pb.gz       :      2000 (    1069,     91,     840),  55.7 :    +40,    5,  100.0
      weights_run3_714683.pb.gz       :      2000 (    1073,     35,     892),  54.5 :    +41,    5,  100.0
      weights_run3_714385.pb.gz       :      2000 (    1103,     44,     853),  56.3 :    +41,    5,  100.0
      weights_run3_714620.pb.gz       :      2000 (    1097,     52,     851),  56.1 :    +41,    5,  100.0
      weights_run3_714370.pb.gz       :      2000 (    1076,     51,     873),  55.1 :    +41,    5,  100.0
      weights_run3_714677.pb.gz       :      2000 (    1069,     38,     893),  54.4 :    +41,    5,  100.0
      weights_run3_714602.pb.gz       :      2000 (    1104,     27,     869),  55.9 :    +41,    5,  100.0
      weights_run3_714547.pb.gz       :      2000 (    1081,     35,     884),  54.9 :    +42,    5,  100.0
      weights_run3_714667.pb.gz       :      2000 (    1123,     53,     824),  57.5 :    +42,    5,  100.0
      weights_run3_714447.pb.gz       :      2000 (    1088,     48,     864),  55.6 :    +42,    6,  100.0
      weights_run3_714690.pb.gz       :      2000 (    1101,     35,     864),  55.9 :    +42,    5,  100.0
      weights_run3_714606.pb.gz       :      2000 (    1062,     52,     886),  54.4 :    +42,    5,  100.0
      weights_run3_714399.pb.gz       :      2000 (    1110,     29,     861),  56.2 :    +42,    5,  100.0
      weights_run3_714592.pb.gz       :      2000 (    1106,     52,     842),  56.6 :    +42,    5,  100.0
      weights_run3_714639.pb.gz       :      2000 (    1067,     48,     885),  54.5 :    +42,    5,  100.0
      weights_run3_714661.pb.gz       :      2000 (    1106,     33,     861),  56.1 :    +42,    5,  100.0
      weights_run3_714599.pb.gz       :      2000 (    1130,     54,     816),  57.9 :    +43,    6,  100.0
      weights_run3_714487.pb.gz       :      2000 (    1101,     32,     867),  55.9 :    +43,    4,  100.0
      weights_run3_714380.pb.gz       :      2000 (    1096,     46,     858),  56.0 :    +43,    5,  100.0
      weights_run3_714527.pb.gz       :      2000 (    1110,     34,     856),  56.4 :    +43,    5,  100.0
