Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      weights_run3_714544.pb.gz       :      2000 (    1122,     44,     834),  57.2 :    +54,    6,  100.0
      weights_run3_714457.pb.gz       :      2000 (    1208,     28,     764),  61.1 :    +54,    5,  100.0
      weights_run3_714413.pb.gz       :      2000 (    1103,     56,     841),  56.5 :    +54,    5,  100.0
      weights_run3_714642.pb.gz       :      2000 (    1114,     46,     840),  56.9 :    +54,    5,  100.0
      weights_run3_714472.pb.gz       :      2000 (    1154,     43,     803),  58.8 :    +54,    6,  100.0
      weights_run3_714372.pb.gz       :      2000 (    1180,     44,     776),  60.1 :    +54,    5,  100.0
      weights_run3_714473.pb.gz       :      2000 (    1101,     56,     843),  56.5 :    +54,    6,  100.0
      weights_run3_714596.pb.gz       :      2000 (    1134,     39,     827),  57.7 :    +54,    6,  100.0
      weights_run3_714465.pb.gz       :      2000 (    1144,     75,     781),  59.1 :    +54,    5,  100.0
      weights_run3_714373.pb.gz       :      2000 (    1120,     49,     831),  57.2 :    +54,    5,  100.0
      weights_run3_714615.pb.gz       :      2000 (    1082,     62,     856),  55.6 :    +55,    6,  100.0
      weights_run3_714623.pb.gz       :      2000 (    1157,     56,     787),  59.3 :    +55,    5,  100.0
      weights_run3_714356.pb.gz       :      2000 (    1140,     78,     782),  59.0 :    +55,    6,  100.0
      weights_run3_714446.pb.gz       :      2000 (    1143,     47,     810),  58.3 :    +55,    6,  100.0
      weights_run3_714425.pb.gz       :      2000 (    1153,     36,     811),  58.5 :    +55,    6,  100.0
      weights_run3_714541.pb.gz       :      2000 (    1133,     50,     817),  57.9 :    +55,    5,  100.0
      weights_run3_714374.pb.gz       :      2000 (    1111,     38,     851),  56.5 :    +55,    5,  100.0
      weights_run3_714594.pb.gz       :      2000 (    1156,     60,     784),  59.3 :    +55,    6,  100.0
      weights_run3_714363.pb.gz       :      2000 (    1150,     74,     776),  59.4 :    +56,    5,  100.0
      weights_run3_714605.pb.gz       :      2000 (    1116,     42,     842),  56.9 :    +56,    5,  100.0
      weights_run3_714593.pb.gz       :      2000 (    1108,     41,     851),  56.4 :    +57,    6,  100.0
      weights_run3_714464.pb.gz       :      2000 (    1078,     75,     847),  55.8 :    +57,    6,  100.0
      weights_run3_714390.pb.gz       :      2000 (    1151,     32,     817),  58.4 :    +57,    6,  100.0
      weights_run3_714435.pb.gz       :      2000 (    1173,     47,     780),  59.8 :    +58,    5,  100.0
      weights_run3_714483.pb.gz       :      2000 (    1155,     34,     811),  58.6 :    +58,    5,  100.0
      weights_run3_714371.pb.gz       :      2000 (    1136,     41,     823),  57.8 :    +58,    5,  100.0
      weights_run3_714466.pb.gz       :      2000 (    1155,     25,     820),  58.4 :    +58,    5,  100.0
      weights_run3_714389.pb.gz       :      2000 (    1152,     26,     822),  58.3 :    +58,    5,  100.0
      weights_run3_714543.pb.gz       :      2000 (    1142,     57,     801),  58.5 :    +58,    5,  100.0
      weights_run3_714404.pb.gz       :      2000 (    1129,     38,     833),  57.4 :    +58,    5,  100.0
      weights_run3_714469.pb.gz       :      2000 (    1115,     57,     828),  57.2 :    +59,    5,  100.0
      weights_run3_714417.pb.gz       :      2000 (    1116,     59,     825),  57.3 :    +59,    5,  100.0
      weights_run3_714625.pb.gz       :      2000 (    1084,     63,     853),  55.8 :    +59,    5,  100.0
      weights_run3_714405.pb.gz       :      2000 (    1158,     62,     780),  59.5 :    +59,    5,  100.0
      weights_run3_714600.pb.gz       :      2000 (    1129,     40,     831),  57.5 :    +59,    5,  100.0
      weights_run3_714542.pb.gz       :      2000 (    1129,     52,     819),  57.8 :    +60,    5,  100.0
      weights_run3_714663.pb.gz       :      2000 (    1130,     55,     815),  57.9 :    +60,    4,  100.0
      weights_run3_714361.pb.gz       :      2000 (    1103,     63,     834),  56.7 :    +60,    6,  100.0
      weights_run3_714422.pb.gz       :      2000 (    1143,     34,     823),  58.0 :    +60,    4,  100.0
      weights_run3_714392.pb.gz       :      2000 (    1167,     35,     798),  59.2 :    +60,    6,  100.0
      weights_run3_714646.pb.gz       :      2000 (    1140,     39,     821),  58.0 :    +60,    5,  100.0
      weights_run3_714647.pb.gz       :      2000 (    1108,     46,     846),  56.5 :    +60,    6,  100.0
      weights_run3_714393.pb.gz       :      2000 (    1168,     55,     777),  59.8 :    +60,    6,  100.0
      weights_run3_714355.pb.gz       :      2000 (    1152,     32,     816),  58.4 :    +61,    6,  100.0
      weights_run3_714665.pb.gz       :      2000 (    1139,     43,     818),  58.0 :    +61,    5,  100.0
      weights_run3_714444.pb.gz       :      2000 (    1136,     60,     804),  58.3 :    +61,    5,  100.0
      weights_run3_714428.pb.gz       :      2000 (    1152,     42,     806),  58.6 :    +61,    5,  100.0
      weights_run3_714430.pb.gz       :      2000 (    1157,     23,     820),  58.4 :    +61,    5,  100.0
      weights_run3_714458.pb.gz       :      2000 (    1109,     39,     852),  56.4 :    +61,    5,  100.0
      weights_run3_714391.pb.gz       :      2000 (    1156,     49,     795),  59.0 :    +62,    6,  100.0
      weights_run3_714477.pb.gz       :      4000 (    2297,    117,    1586),  58.9 :    +62,    4,  100.0
      weights_run3_714418.pb.gz       :      2000 (    1174,     54,     772),  60.0 :    +63,    5,  100.0
      weights_run3_714400.pb.gz       :      2000 (    1104,     53,     843),  56.5 :    +63,    6,  100.0
      weights_run3_714354.pb.gz       :      2000 (    1180,     31,     789),  59.8 :    +64,    5,  100.0
      weights_run3_714427.pb.gz       :      2000 (    1193,     34,     773),  60.5 :    +64,    6,  100.0
      weights_run3_714486.pb.gz       :      2000 (    1165,     51,     784),  59.5 :    +64,    5,  100.0
      weights_run3_714622.pb.gz       :      2000 (    1159,     64,     777),  59.5 :    +65,    5,  100.0
      weights_run3_714423.pb.gz       :      2000 (    1160,     40,     800),  59.0 :    +65,    5,  100.0
      weights_run3_714463.pb.gz       :      2000 (    1157,     65,     778),  59.5 :    +66,    5,  100.0
      weights_run3_714433.pb.gz       :      2000 (    1131,     39,     830),  57.5 :    +66,    6,  100.0
      weights_run3_714344.pb.gz       :      2000 (    1182,     27,     791),  59.8 :    +66,    5,  100.0
      weights_run3_714343.pb.gz       :      2000 (    1178,     50,     772),  60.1 :    +67,    5,  100.0
      weights_run3_714403.pb.gz       :      2000 (    1177,     31,     792),  59.6 :    +67,    5,  100.0
      weights_run3_714368.pb.gz       :      2000 (    1190,     35,     775),  60.4 :    +67,    5,  100.0
      weights_run3_714485.pb.gz       :      2000 (    1168,     41,     791),  59.4 :    +67,    5,  100.0
      weights_run3_714402.pb.gz       :      2000 (    1154,     63,     783),  59.3 :    +67,    5,  100.0
      weights_run3_714419.pb.gz       :      2000 (    1206,     44,     750),  61.4 :    +67,    5,  100.0
      weights_run3_714432.pb.gz       :      2000 (    1194,     38,     768),  60.6 :    +68,    5,  100.0
      weights_run3_714429.pb.gz       :      2000 (    1140,     35,     825),  57.9 :    +68,    5,  100.0
      weights_run3_714382.pb.gz       :      2000 (    1195,     25,     780),  60.4 :    +69,    5,  100.0
      weights_run3_714341.pb.gz       :      2000 (    1176,     44,     780),  59.9 :    +69,    5,  100.0
      weights_run3_714641.pb.gz       :      2000 (    1191,     37,     772),  60.5 :    +69,    5,  100.0
      weights_run3_714369.pb.gz       :      2000 (    1127,     45,     828),  57.5 :    +70,    6,  100.0
      weights_run3_714340.pb.gz       :      2000 (    1152,     52,     796),  58.9 :    +70,    5,  100.0
      weights_run3_714353.pb.gz       :      2000 (    1147,     20,     833),  57.9 :    +71,    5,  100.0
      weights_run3_714431.pb.gz       :      2000 (    1180,     28,     792),  59.7 :    +71,    5,  100.0
      weights_run3_714624.pb.gz       :      2000 (    1221,     39,     740),  62.0 :    +71,    5,  100.0
      weights_run3_714322.pb.gz       :      2000 (    1176,     33,     791),  59.6 :    +72,    5,  100.0
      weights_run3_714337.pb.gz       :      2000 (    1182,     76,     742),  61.0 :    +73,    4,  100.0
      weights_run3_714420.pb.gz       :      2000 (    1175,     60,     765),  60.3 :    +73,    5,  100.0
      weights_run3_714333.pb.gz       :      2000 (    1188,     29,     783),  60.1 :    +73,    5,  100.0
      weights_run3_714365.pb.gz       :      2000 (    1184,     29,     787),  59.9 :    +74,    6,  100.0
      weights_run3_714342.pb.gz       :      2000 (    1169,     38,     793),  59.4 :    +74,    5,  100.0
      weights_run3_714367.pb.gz       :      2000 (    1196,     18,     786),  60.3 :    +74,    5,  100.0
      weights_run3_714366.pb.gz       :      2000 (    1197,     34,     769),  60.7 :    +75,    5,  100.0
      weights_run3_714335.pb.gz       :      2000 (    1208,     27,     765),  61.1 :    +76,    5,  100.0
      weights_run3_714351.pb.gz       :      2000 (    1213,     38,     749),  61.6 :    +76,    6,  100.0
      weights_run3_714357.pb.gz       :      2000 (    1161,     60,     779),  59.5 :    +76,    5,  100.0
      weights_run3_714334.pb.gz       :      2000 (    1215,     19,     766),  61.2 :    +77,    5,  100.0
      weights_run3_714364.pb.gz       :      2000 (    1215,     26,     759),  61.4 :    +78,    6,  100.0
      weights_run3_714323.pb.gz       :      2000 (    1179,     38,     783),  59.9 :    +79,    5,  100.0
      weights_run3_714332.pb.gz       :      2000 (    1221,     17,     762),  61.5 :    +80,    5,  100.0
      weights_run3_714346.pb.gz       :      2000 (    1207,     46,     747),  61.5 :    +81,    5,  100.0
      weights_run2_702123.pb.gz       :      2000 (    1218,     25,     757),  61.5 :    +81,    5,  100.0
      weights_run3_714330.pb.gz       :      2000 (    1235,     19,     746),  62.2 :    +83,    5,  100.0
      weights_run3_714401.pb.gz       :      2000 (    1234,     45,     721),  62.8 :    +83,    5,  100.0
      weights_run2_703753.pb.gz       :      2000 (    1214,     52,     734),  62.0 :    +84,    6,  100.0
      weights_run3_714318.pb.gz       :      2000 (    1211,     28,     761),  61.3 :    +85,    6,  100.0
      weights_run3_714345.pb.gz       :      2000 (    1172,     38,     790),  59.5 :    +86,    5,  100.0
      weights_run2_702112.pb.gz       :      2000 (    1226,     28,     746),  62.0 :    +86,    5,  100.0
      weights_run3_714349.pb.gz       :      2000 (    1218,     28,     754),  61.6 :    +86,    5,  100.0
      weights_run2_702127.pb.gz       :      2000 (    1191,     38,     771),  60.5 :    +87,    5,  100.0
      weights_run2_702116.pb.gz       :      2000 (    1255,     41,     704),  63.8 :    +89,    5,  100.0
      weights_run3_714352.pb.gz       :      2000 (    1272,     33,     695),  64.4 :    +89,    5,  100.0
      weights_run3_714326.pb.gz       :      2000 (    1264,     24,     712),  63.8 :    +89,    5,  100.0
      weights_run2_703767.pb.gz       :      2000 (    1216,     43,     741),  61.9 :    +89,    5,  100.0
      weights_run2_702121.pb.gz       :      2000 (    1258,     18,     724),  63.4 :    +90,    5,  100.0
      weights_run2_702093.pb.gz       :      2000 (    1207,     84,     709),  62.5 :    +91,    5,  100.0
      weights_run2_703769.pb.gz       :      2000 (    1234,     32,     734),  62.5 :    +91,    5,  100.0
      weights_run3_714329.pb.gz       :      2000 (    1247,     29,     724),  63.1 :    +91,    4,  100.0
      weights_run3_714336.pb.gz       :      2000 (    1247,     48,     705),  63.5 :    +91,    5,  100.0
      weights_run2_702198.pb.gz       :      2000 (    1274,     39,     687),  64.7 :    +91,    6,  100.0
      weights_run2_702226.pb.gz       :      2000 (    1242,     22,     736),  62.6 :    +91,    5,  100.0
      weights_run3_714347.pb.gz       :      2000 (    1234,     51,     715),  63.0 :    +92,    5,  100.0
      weights_run2_702110.pb.gz       :      2000 (    1250,     27,     723),  63.2 :    +92,    5,  100.0
      weights_run2_702283.pb.gz       :      2000 (    1239,     31,     730),  62.7 :    +93,    5,  100.0
      weights_run3_714348.pb.gz       :      2000 (    1234,     29,     737),  62.4 :    +93,    6,  100.0
      weights_run2_702389.pb.gz       :      2000 (    1234,     58,     708),  63.1 :    +93,    5,  100.0
      weights_run2_703738.pb.gz       :      2000 (    1227,     35,     738),  62.2 :    +93,    5,  100.0
      weights_run3_714319.pb.gz       :      2000 (    1231,     31,     738),  62.3 :    +93,    5,  100.0
      weights_run3_714331.pb.gz       :      2000 (    1269,     30,     701),  64.2 :    +93,    5,  100.0
      weights_run2_702111.pb.gz       :      2000 (    1269,     40,     691),  64.5 :    +93,    5,  100.0
      weights_run3_714339.pb.gz       :      2000 (    1230,     36,     734),  62.4 :    +93,    5,  100.0
      weights_run2_702247.pb.gz       :      2000 (    1248,     16,     736),  62.8 :    +93,    5,  100.0
      weights_run2_702290.pb.gz       :      2000 (    1281,     31,     688),  64.8 :    +94,    5,  100.0
      weights_run3_714325.pb.gz       :      2000 (    1254,     28,     718),  63.4 :    +94,    5,  100.0
      weights_run3_714328.pb.gz       :      2000 (    1249,     19,     732),  62.9 :    +94,    5,  100.0
      weights_run2_702109.pb.gz       :      2000 (    1254,     18,     728),  63.1 :    +95,    6,  100.0
      weights_run2_702118.pb.gz       :      2000 (    1275,     36,     689),  64.7 :    +95,    5,  100.0
      weights_run2_703755.pb.gz       :      2000 (    1252,     47,     701),  63.8 :    +95,    5,  100.0
      weights_run2_702249.pb.gz       :      2000 (    1274,     54,     672),  65.0 :    +96,    5,  100.0
      weights_run2_703740.pb.gz       :      2000 (    1256,     27,     717),  63.5 :    +96,    5,  100.0
      weights_run2_703773.pb.gz       :      2000 (    1257,     29,     714),  63.6 :    +96,    5,  100.0
      weights_run2_703742.pb.gz       :      2000 (    1252,     44,     704),  63.7 :    +96,    6,  100.0
      weights_run3_714327.pb.gz       :      2000 (    1206,     30,     764),  61.0 :    +96,    5,  100.0
      weights_run2_703799.pb.gz       :      2000 (    1248,     33,     719),  63.2 :    +96,    6,  100.0
      weights_run2_702114.pb.gz       :      2000 (    1219,     33,     748),  61.8 :    +96,    6,  100.0
      weights_run2_703770.pb.gz       :      2000 (    1256,     35,     709),  63.7 :    +96,    6,  100.0
      weights_run2_703800.pb.gz       :      2000 (    1284,     43,     673),  65.3 :    +96,    5,  100.0
      weights_run2_702108.pb.gz       :      2000 (    1235,     49,     716),  63.0 :    +97,    6,  100.0
      weights_run2_703774.pb.gz       :      2000 (    1264,     30,     706),  64.0 :    +97,    5,  100.0
      weights_run2_702030.pb.gz       :      2000 (    1239,     44,     717),  63.0 :    +97,    5,  100.0
      weights_run3_714350.pb.gz       :      2000 (    1252,     42,     706),  63.6 :    +97,    5,  100.0
      weights_run3_714314.pb.gz       :      2000 (    1238,     23,     739),  62.5 :    +97,    4,  100.0
      weights_run2_702113.pb.gz       :      2000 (    1257,     58,     685),  64.3 :    +97,    5,  100.0
      weights_run2_703808.pb.gz       :      2000 (    1259,     34,     707),  63.8 :    +97,    5,  100.0
      weights_run2_703594.pb.gz       :      2000 (    1255,     35,     710),  63.6 :    +97,    5,  100.0
      weights_run2_702120.pb.gz       :      2000 (    1259,     46,     695),  64.1 :    +97,    5,  100.0
